State,Year,Income,Price Parities,Standardized Income
Wyoming,2022,73248.0,91.903,79701.42
North Dakota,2022,70360.0,88.656,79362.93
Connecticut,2022,82938.0,106.412,77940.46
South Dakota,2022,68176.0,87.991,77480.65
Massachusetts,2022,84561.0,109.393,77300.19
Colorado,2022,75722.0,102.293,74024.62
Nebraska,2022,64268.0,89.806,71563.15
New Jersey,2022,77199.0,108.757,70983.02
Minnesota,2022,68840.0,97.722,70444.73
New York,2022,75407.0,107.599,70081.51
New Hampshire,2022,73910.0,107.644,68661.51
Washington,2022,75332.0,109.849,68577.77
California,2022,77036.0,112.47,68494.71
Iowa,2022,60222.0,88.422,68107.48
Montana,2022,60984.0,90.266,67560.32
Virginia,2022,68985.0,102.137,67541.64
Alaska,2022,68635.0,101.989,67296.47
Kansas,2022,60424.0,89.961,67166.88
Pennsylvania,2022,64506.0,96.218,67041.51
Maryland,2022,70228.0,104.958,66910.57
Illinois,2022,67655.0,101.257,66815.13
Wisconsin,2022,61475.0,92.31,66596.25
United States,2022,65470.0,100.0,65470.0
Delaware,2022,63243.0,97.957,64562.0
Nevada,2022,62085.0,96.383,64414.89
Texas,2022,62586.0,97.512,64182.87
Indiana,2022,58323.0,91.817,63520.92
Tennessee,2022,58292.0,91.797,63500.99
Missouri,2022,57818.0,91.119,63453.29
Florida,2022,64806.0,102.144,63445.72
Oklahoma,2022,56298.0,88.771,63419.36
Ohio,2022,57777.0,91.45,63178.79
Utah,2022,59457.0,94.471,62936.77
Vermont,2022,63039.0,101.096,62355.58
North Carolina,2022,58109.0,94.204,61684.22
Idaho,2022,56614.0,91.827,61652.89
Michigan,2022,57038.0,93.428,61050.22
Arkansas,2022,52618.0,86.597,60761.92
Rhode Island,2022,63557.0,104.7,60703.92
Louisiana,2022,54501.0,90.569,60176.22
Maine,2022,60599.0,100.839,60094.8
Georgia,2022,56589.0,95.832,59050.21
Arizona,2022,58442.0,99.897,58502.26
Oregon,2022,62303.0,106.565,58464.79
Kentucky,2022,51921.0,89.356,58105.78
Alabama,2022,50916.0,87.776,58006.74
New Mexico,2022,52194.0,90.981,57368.02
South Carolina,2022,53618.0,93.551,57314.19
West Virginia,2022,49993.0,89.245,56017.7
Hawaii,2022,61779.0,110.839,55737.6
Mississippi,2022,46370.0,87.328,53098.66
