Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
SAINC5N-30,00000,United States,2022,Dollars,0,65470,3
SAINC5N-30,01000,Alabama,2022,Dollars,0,50916,3
SAINC5N-30,02000,Alaska,2022,Dollars,0,68635,3
SAINC5N-30,04000,Arizona,2022,Dollars,0,58442,3
SAINC5N-30,05000,Arkansas,2022,Dollars,0,52618,3
SAINC5N-30,06000,California,2022,Dollars,0,77036,3
SAINC5N-30,08000,Colorado,2022,Dollars,0,75722,3
SAINC5N-30,09000,Connecticut,2022,Dollars,0,82938,3
SAINC5N-30,10000,Delaware,2022,Dollars,0,63243,3
SAINC5N-30,11000,District of Columbia,2022,Dollars,0,95970,3
SAINC5N-30,12000,Florida,2022,Dollars,0,64806,3
SAINC5N-30,13000,Georgia,2022,Dollars,0,56589,3
SAINC5N-30,15000,Hawaii,2022,Dollars,0,61779,3
SAINC5N-30,16000,Idaho,2022,Dollars,0,56614,3
SAINC5N-30,17000,Illinois,2022,Dollars,0,67655,3
SAINC5N-30,18000,Indiana,2022,Dollars,0,58323,3
SAINC5N-30,19000,Iowa,2022,Dollars,0,60222,3
SAINC5N-30,20000,Kansas,2022,Dollars,0,60424,3
SAINC5N-30,21000,Kentucky,2022,Dollars,0,51921,3
SAINC5N-30,22000,Louisiana,2022,Dollars,0,54501,3
SAINC5N-30,23000,Maine,2022,Dollars,0,60599,3
SAINC5N-30,24000,Maryland,2022,Dollars,0,70228,3
SAINC5N-30,25000,Massachusetts,2022,Dollars,0,84561,3
SAINC5N-30,26000,Michigan,2022,Dollars,0,57038,3
SAINC5N-30,27000,Minnesota,2022,Dollars,0,68840,3
SAINC5N-30,28000,Mississippi,2022,Dollars,0,46370,3
SAINC5N-30,29000,Missouri,2022,Dollars,0,57818,3
SAINC5N-30,30000,Montana,2022,Dollars,0,60984,3
SAINC5N-30,31000,Nebraska,2022,Dollars,0,64268,3
SAINC5N-30,32000,Nevada,2022,Dollars,0,62085,3
SAINC5N-30,33000,New Hampshire,2022,Dollars,0,73910,3
SAINC5N-30,34000,New Jersey,2022,Dollars,0,77199,3
SAINC5N-30,35000,New Mexico,2022,Dollars,0,52194,3
SAINC5N-30,36000,New York,2022,Dollars,0,75407,3
SAINC5N-30,37000,North Carolina,2022,Dollars,0,58109,3
SAINC5N-30,38000,North Dakota,2022,Dollars,0,70360,3
SAINC5N-30,39000,Ohio,2022,Dollars,0,57777,3
SAINC5N-30,40000,Oklahoma,2022,Dollars,0,56298,3
SAINC5N-30,41000,Oregon,2022,Dollars,0,62303,3
SAINC5N-30,42000,Pennsylvania,2022,Dollars,0,64506,3
SAINC5N-30,44000,Rhode Island,2022,Dollars,0,63557,3
SAINC5N-30,45000,South Carolina,2022,Dollars,0,53618,3
SAINC5N-30,46000,South Dakota,2022,Dollars,0,68176,3
SAINC5N-30,47000,Tennessee,2022,Dollars,0,58292,3
SAINC5N-30,48000,Texas,2022,Dollars,0,62586,3
SAINC5N-30,49000,Utah,2022,Dollars,0,59457,3
SAINC5N-30,50000,Vermont,2022,Dollars,0,63039,3
SAINC5N-30,51000,Virginia,2022,Dollars,0,68985,3
SAINC5N-30,53000,Washington,2022,Dollars,0,75332,3
SAINC5N-30,54000,West Virginia,2022,Dollars,0,49993,3
SAINC5N-30,55000,Wisconsin,2022,Dollars,0,61475,3
SAINC5N-30,56000,Wyoming,2022,Dollars,0,73248,3
SAINC5N-30,91000,New England,2022,Dollars,0,78557,3
SAINC5N-30,92000,Mideast,2022,Dollars,0,72286,3
SAINC5N-30,93000,Great Lakes,2022,Dollars,0,60801,3
SAINC5N-30,94000,Plains,2022,Dollars,0,62901,3
SAINC5N-30,95000,Southeast,2022,Dollars,0,58774,3
SAINC5N-30,96000,Southwest,2022,Dollars,0,60800,3
SAINC5N-30,97000,Rocky Mountain,2022,Dollars,0,67169,3
SAINC5N-30,98000,Far West,2022,Dollars,0,74352,3
