Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SARPP-1,00000,United States,2022,Index,0,100.000
SARPP-1,01000,Alabama,2022,Index,0,87.776
SARPP-1,02000,Alaska,2022,Index,0,101.989
SARPP-1,04000,Arizona,2022,Index,0,99.897
SARPP-1,05000,Arkansas,2022,Index,0,86.597
SARPP-1,06000,California,2022,Index,0,112.470
SARPP-1,08000,Colorado,2022,Index,0,102.293
SARPP-1,09000,Connecticut,2022,Index,0,106.412
SARPP-1,10000,Delaware,2022,Index,0,97.957
SARPP-1,11000,District of Columbia,2022,Index,0,112.847
SARPP-1,12000,Florida,2022,Index,0,102.144
SARPP-1,13000,Georgia,2022,Index,0,95.832
SARPP-1,15000,Hawaii,2022,Index,0,110.839
SARPP-1,16000,Idaho,2022,Index,0,91.827
SARPP-1,17000,Illinois,2022,Index,0,101.257
SARPP-1,18000,Indiana,2022,Index,0,91.817
SARPP-1,19000,Iowa,2022,Index,0,88.422
SARPP-1,20000,Kansas,2022,Index,0,89.961
SARPP-1,21000,Kentucky,2022,Index,0,89.356
SARPP-1,22000,Louisiana,2022,Index,0,90.569
SARPP-1,23000,Maine,2022,Index,0,100.839
SARPP-1,24000,Maryland,2022,Index,0,104.958
SARPP-1,25000,Massachusetts,2022,Index,0,109.393
SARPP-1,26000,Michigan,2022,Index,0,93.428
SARPP-1,27000,Minnesota,2022,Index,0,97.722
SARPP-1,28000,Mississippi,2022,Index,0,87.328
SARPP-1,29000,Missouri,2022,Index,0,91.119
SARPP-1,30000,Montana,2022,Index,0,90.266
SARPP-1,31000,Nebraska,2022,Index,0,89.806
SARPP-1,32000,Nevada,2022,Index,0,96.383
SARPP-1,33000,New Hampshire,2022,Index,0,107.644
SARPP-1,34000,New Jersey,2022,Index,0,108.757
SARPP-1,35000,New Mexico,2022,Index,0,90.981
SARPP-1,36000,New York,2022,Index,0,107.599
SARPP-1,37000,North Carolina,2022,Index,0,94.204
SARPP-1,38000,North Dakota,2022,Index,0,88.656
SARPP-1,39000,Ohio,2022,Index,0,91.450
SARPP-1,40000,Oklahoma,2022,Index,0,88.771
SARPP-1,41000,Oregon,2022,Index,0,106.565
SARPP-1,42000,Pennsylvania,2022,Index,0,96.218
SARPP-1,44000,Rhode Island,2022,Index,0,104.700
SARPP-1,45000,South Carolina,2022,Index,0,93.551
SARPP-1,46000,South Dakota,2022,Index,0,87.991
SARPP-1,47000,Tennessee,2022,Index,0,91.797
SARPP-1,48000,Texas,2022,Index,0,97.512
SARPP-1,49000,Utah,2022,Index,0,94.471
SARPP-1,50000,Vermont,2022,Index,0,101.096
SARPP-1,51000,Virginia,2022,Index,0,102.137
SARPP-1,53000,Washington,2022,Index,0,109.849
SARPP-1,54000,West Virginia,2022,Index,0,89.245
SARPP-1,55000,Wisconsin,2022,Index,0,92.310
SARPP-1,56000,Wyoming,2022,Index,0,91.903
